SPAN = 4600 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"20.60
11.39
11.76","24.73
12.08
12.65","25.03
12.87
13.13","28.18
13.67
13.83","29.77
14.63
14.52","32.26
15.45
15.32","34.38
16.25
15.90","36.09
17.16
16.67","37.12
17.87
17.17","37.12
18.90
17.85","37.12
19.50
18.40","37.12
20.70
19.06","37.12
21.25
19.58"
400,"24.02
15.38
11.96","28.84
16.27
12.90","29.19
17.41
13.37","32.86
18.42
14.21","34.72
19.78
14.77","37.61
20.79
15.49","40.09
21.98
16.14","41.07
23.09
16.92","41.07
24.17
17.42","41.07
25.40
18.11","41.07
26.37
18.66","41.07
27.82
19.31","41.07
28.74
19.83"
450,"27.39
19.93
12.48","32.88
21.09
13.07","33.29
22.56
13.55","37.47
23.88
14.49","39.59
25.63
15.05","42.89
26.95
15.77","44.12
28.48
16.48","44.12
29.91
17.10","44.12
31.33
17.60","44.12
32.89
18.29","44.12
34.18
18.83","44.12
35.99
19.49","44.12
37.24
20.01"
SPAN= 4900 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"18.10
9.39
11.53","21.73
9.95
12.31","22.00
10.61
12.76","24.77
11.27
13.51","26.17
12.05
14.04","28.35
12.73
14.83","28.85
13.39
15.50","28.85
14.14
16.12","28.85
14.73
16.59","28.85
15.57
17.28","28.85
16.07
17.79","28.85
17.06
18.44","28.85
17.51
18.94"
400,"21.11
12.68
11.71","25.35
13.40
12.59","25.65
14.34
13.04","28.88
15.18
13.74","30.51
16.30
14.26","32.50
17.13
15.11","32.50
18.11
15.64","32.50
19.02
16.27","32.50
19.92
16.74","32.50
20.93
17.42","32.50
21.73
17.94","32.50
22.92
18.59","32.50
23.68
19.08"
450,"24.07
16.42
12.15","28.90
17.38
12.75","29.25
18.59
13.19","32.93
19.68
13.89","34.79
21.12
14.65","35.79
22.20
15.36","35.79
23.47
15.90","35.79
24.64
16.52","35.79
25.81
16.99","35.79
27.10
17.68","35.79
28.16
18.19","35.79
29.66
18.85","35.79
30.68
19.34"
SPAN= 5200 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"16.04
7.83
11.30","19.25
8.30
11.90","19.49
8.84
12.49","21.94
9.39
13.24","23.14
10.05
13.74","23.14
10.61
14.45","23.14
11.16
14.95","23.14
11.79
15.58","23.14
12.28
16.02","23.14
12.98
16.71","23.14
13.40
17.19","23.14
14.22
17.84","23.14
14.60
18.31"
400,"18.70
10.57
11.47","22.45
11.17
12.33","22.73
11.96
12.75","25.58
12.65
13.45","26.34
13.59
13.94","26.34
14.28
14.66","26.34
15.10
15.16","26.34
15.86
15.79","26.34
16.61
16.23","26.34
17.45
16.91","26.34
18.12
17.40","26.34
19.11
16.05","26.34
19.74
18.51"
450,"21.33
13.69
11.69","25.60
14.49
12.47","25.91
15.50
12.89","29.17
16.40
13.59","29.32
17.61
14.09","29.32
18.51
14.80","29.32
19.56
15.30","29.32
20.55
15.93","29.32
21.52
16.37","29.32
22.59
17.05","29.32
23.48
17.54","29.32
24.73
18.69","29.32
25.88
18.66"
SPAN= 5500 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"14.31
6.59
11.29","17.17
6.99
11.88","17.38
7.45
12.28","19.04
7.91
12.98","19.04
8.46
13.44","19.04
8.94
14.16","19.04
9.40
14.63","19.04
9.93
15.26","19.04
10.34
15.68","19.04
10.94
16.36","19.04
11.28
16.82","19.04
11.98
17.47","19.04
12.30
17.91"
400,"16.68
8.90
11.39","20.03
9.41
12.04","20.27
10.07
12.44","21.82
10.66
13.31","21.82
11.45
13.78","21.82
12.03
14.49","21.82
12.72
14.97","21.82
13.36
15.59","21.82
13.99
16.01","21.82
14.70
16.69","21.82
15.26
17.15","21.82
16.10
17.81","21.82
16.63
18.24"
450,"19.02
11.54
11.57","22.84
12.20
12.37","23.11
13.06
12.95","24.45
13.82
13.65","24.45
14.83
14.11","24.45
15.59
14.83","24.45
16.48
15.30","24.45
17.31
15.93","24.45
18.13
16.35","24.45
19.03
17.03","24.45
19.78
17.49","24.45
20.83
18.14","24.45
21.55
18.58"
SPAN = 6100 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"11.59
4.81
11.32","13.91
5.10
12.28","14.08
5.43
12.76","15.85
5.77
13.46","16.75
6.17
14.02","18.14
6.52
14.73","19.34
6.85
15.30","20.20
7.24
16.04","20.95
7.54
16.70","22.00
7.97
17.50","22.44
8.23
18.05","22.44
8.73
18.70","22.44
8.96
19.23"
400,"13.51
6.49
11.43","16.22
6.86
12.40","16.42
7.34
12.87","18.48
7.77
13.65","19.53
8.35
14.21","21.16
8.77
14.92","22.55
9.27
15.69","23.68
9.74
16.42","24.43
10.20
17.03","25.27
10.72
17.72","25.27
11.13
18.26","25.27
11.72
18.92","25.27
12.12
19.44"
450,"15.41
8.41
11.64","18.50
8.90
12.70","18.72
9.52
13.18","21.08
10.07
13.88","22.27
10.81
14.44","24.13
11.37
15.27","25.71
12.01
15.95","27.00
12.62
16.69","27.84
13.22
17.19","27.84
13.88
17.88","27.84
14.42
18.43","27.84
15.19
19.08","27.84
15.71
19.60"
500,"17.30
10.58
12.04","20.77
11.23
12.86","21.03
11.98
13.34","23.67
12.68
14.16","25.01
13.61
14.72","27.10
14.31
15.56","28.88
15.12
16.26","30.11
16.87
16.88","30.11
16.66
17.38","30.11
17.45
18.07","30.11
18.14
18.62","30.11
19.09
19.27","30.11
19.77
19.80"
550,"19.20
13.00
12.20","23.05
13.79
13.03","23.33
14.72
13.64","26.26
15.59
14.48","27.75
16.72
15.16","40.06
17.58
16.00","32.04
18.58
16.70","32.12
19.50
17.33","32.12
20.44
17.83","32.12
21.43
18.51","32.12
22.29
19.06","32.12
23.44
19.71","32.12
24.29
20.24"
600,"21.28
15.95
12.80","25.54
16.89
13.67","25.86
18.05
14.14","29.11
19.13
14.97","30.75
20.51
15.53","33.09
21.57
16.37","33.09
22.79
16.95","33.09
23.92
17.57","33.09
25.07
18.07","33.09
26.28
18.76","33.09
27.35
19.30","33.09
28.72
19.96","33.09
29.80
20.48"
SPAN = 6700 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"9.58
3.61
11.07","11.50
3.83
11.93","11.64
4.08
12.36","13.10
4.33
13.06","13.84
4.64
13.57","14.99
4.90
14.42","15.03
5.15
14.94","15.03
5.44
15.57","15.03
5.67
16.02","15.03
5.99
16.71","15.03
6.18
17.20","15.03
6.56
17.86","15.03
6.72
18.33"
400,"11.17
4.88
11.44","13.41
5.16
12.03","13.57
5.52
12.47","15.27
5.84
13.17","16.14
6.27
13.81","17.23
6.59
14.60","17.23
6.97
15.12","17.23
7.32
15.74","17.23
7.66
16.20","17.23
8.05
16.88","17.23
8.36
17.38","17.23
8.82
18.04","17.23
9.11
18.51"
450,"12.73
6.32
11.55","15.29
6.68
12.23","15.47
7.15
12.66","17.42
7.57
13.51","18.40
8.12
14.02","19.30
8.54
14.73","19.30
9.03
15.25","19.30
9.48
15.88","19.30
9.93
16.33","19.30
10.43
17.01","19.30
10.83
17.51","19.30
11.41
18.17","19.30
11.80
18.64"
500,"14.30
7.95
11.77","17.17
8.43
12.52","17.38
9.00
13.13","19.56
9.53
13.83","20.67
10.22
14.34","21.25
10.75
15.05","21.25
11.36
15.57","21.26
11.92
16.20","21.25
12.52
16.65","21.25
13.11
17.34","21.25
13.63
17.84","21.25
14.34
18.49","21.25
14.85
18.97"
550,"15.87
9.77
12.11","19.05
10.36
12.86","19.28
11.06
13.30","21.70
11.72
14.00","22.93
12.56
14.50","23.08
13.21
15.35","23.08
13.96
15.87","23.08
14.65
16.50","23.08
15.35
16.95","23.08
16.10
17.64","23.08
16.75
18.13","23.08
17.61
18.79","23.08
13.25
19.26"
600,"17.59
11.98
12.29","21.11
12.69
13.20","21.37
13.56
13.64","24.05
14.38
14.46","24.79
15.41
14.97","25.79
16.21
15.68","24.79
17.12
16.20","24.79
17.97
16.82","24.79
18.83
17.28","24.79
19.74
17.96","24.79
20.55
18.46","24.79
21.58
19.12","24.79
22.39
19.59"
650,"19.15
14.20
12.80","22.99
15.04
13.53","23.27
16.07
13.96","26.20
17.04
14.79","26.37
18.26
15.30","26.37
19.21
16.02","26.37
20.29
16.54","26.37
21.29
17.16","26.37
22.32
17.62","26.37
23.38
18.30","26.37
24.35
18.80","26.37
25.56
19.45","26.37
26.37
19.93"
SPAN = 7300 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"8.05
2.78
11.28","9.66
2.95
11.96","9.78
3.14
12.45","11.01
3.34
13.28","11.63
3.57
14.04","12.60
3.77
14.84","13.43
3.97
15.44","14.10
4.19
16.06","14.55
4.36
16.59","15.28
4.61
17.27","16.31
4.76
18.02","17.14
5.05
18.67","18.36
5.19
19.22"
400,"9.38
3.76
11.38","11.26
2.97
12.06","11.40
4.25
12.56","12.84
4.50
13.66","13.56
4.83
14.25","14.69
5.08
14.96","15.66
5.37
15.56","16.44
5.64
16.27","16.96
5.90
16.79","17.82
6.20
17.66","19.02
6.44
18.23","19.99
6.79
18.88","20.68
7.02
19.43"
450,"10.70
4.87
11.49","12.85
5.15
12.31","13.00
5.51
12.81","14.64
5.83
13.89","15.46
6.26
14.48","16.75
6.58
15.19","17.86
6.95
15.79","18.75
7.30
16.48","19.34
7.65
17.19","20.32
8.03
17.88","21.69
8.34
18.45","22.78
8.79
19.10","22.78
9.09
19.65"
500,"12.02
6.12
11.73","14.43
6.50
12.66","14.60
6.93
13.16","16.44
7.34
14.12","17.37
7.87
14.71","18.82
8.28
15.42","20.05
8.75
16.02","21.06
9.18
16.75","21.72
9.64
17.27","22.82
10.10
17.95","24.36
10.50
18.66","24.63
11.05
19.31","24.63
11.44
19.86"
550,"13.33
7.53
12.06","16.01
7.98
13.10","16.20
8.52
13.60","18.24
9.02
14.30","19.27
9.68
14.88","20.88
10.18
15.59","22.25
10.75
16.39","23.36
11.29
17.18","24.10
11.83
17.70","25.32
12.40
18.53","26.28
12.90
19.10","26.28
13.56
19.76","26.28
14.06
20.30"
600,"14.78
9.23
12.50","17.74
9.78
13.30","17.96
10.45
13.79","20.21
11.07
14.68","21.36
11.87
15.26","23.14
12.48
16.08","24.66
13.19
16.90","25.89
13.84
17.67","26.71
14.51
18.19","27.08
15.21
18.88","27.08
15.83
19.45","27.08
16.62
20.10","27.08
17.24
20.65"
650,"16.09
10.94
12.68","19.32
11.59
13.69","19.56
12.38
14.18","22.01
13.13
15.01","23.26
14.06
15.70","25.20
14.79
16.68","26.85
15.63
17.28","27.08
16.40
17.90","27.08
17.19
18.43","27.08
18.01
19.11","27.08
18.75
19.68","27.08
19.69
20.34","27.08
20.44
20.88"
SPAN = 7900 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"6.86
2.19
11.15","8.23
2.32
11.74","8.33
2.47
12.20","9.38
2.63
13.12","9.91
2.81
13.66","10.74
2.97
14.37","11.44
3.12
15.04","12.01
3.30
15.75","12.40
3.43
16.23","12.42
3.63
16.91","12.42
3.74
17.44","12.42
3.98
18.10","12.42
4.08
18.60"
400,"8.00
2.95
11.25","9.60
3.12
12.07","9.72
3.34
12.52","10.94
3.54
13.22","11.56
3.80
13.76","12.52
3.99
14.59","13.34
4.22
15.23","14.01
4.43
15.86","14.23
4.64
16.34","14.23
4.88
17.02","14.23
5.06
17.55","14.23
5.34
18.20","14.23
5.52
18.71"
450,"9.12
3.83
11.36","10.95
4.05
12.18","11.08
4.38
12.64","12.47
4.59
13.34","13.18
4.92
14.09","14.28
5.17
14.90","15.21
5.47
15.45","15.95
5.74
16.07","15.95
6.02
16.55","15.95
6.32
17.24","15.95
6.56
17.76","15.95
6.91
18.42","15.95
7.15
18.92"
