Span (m),Depth (mm),Factored load (kN/m),,,,,,,,,,,,
,,4.5,6.0,7.5,9.0,10.5,12.0,13.5,15.0,16.5,18.0,19.5,21.0,22.5
3,200,"9.0
6.0
1.03","9.0
7.7
1.03","9.0
7.7
1.03","9.0
7.7
1.01","9.3
9.6
1.01","9.3
9.6
1.01","9.7
10.1
1.02","9.7
10.1
1.02","9.7
10.1
1.01","9.8
10.3
1.03","10.1
10.5
1.03","10.4
10.9
1.05","12.0
12.9
1.09"
,250,"9.1
6.0
1.03","9.1
8.0
1.03","9.1
10.0
1.03","9.1
11.5
1.01","9.5
14.0
1.02","9.5
14.1
1.02","9.9
15.0
1.02","9.9
15.0
1.02","9.9
15.0
1.01","9.9
15.0
1.01","10.3
15.7
1.02","10.3
15.7
1.02","10.3
15.7
1.03"
,300,"9.0
6.0
1.00","9.0
8.0
1.00","9.0
10.0
1.00","9.6
12.0
1.00","9.6
14.0
1.00","9.6
16.0
1.00","9.8
18.0
1.00","9.8
19.9
1.00","10.1
20.2
1.00","10.1
20.3
1.00","10.2
21.3
1.00","10.2
21.3
1.00","10.2
21.3
1.00"
,350,"9.1
6.0
1.00","9.1
8.0
1.00","9.1
10.0
1.00","9.8
12.0
1.03","10.0
14.0
1.01","10.0
16.0
1.01","10.0
18.0
1.00","10.0
20.0
1.00","10.5
22.0
1.01","10.5
24.0
1.01","10.5
26.0
1.00","10.5
27.3 1.00","11.0
28.9
1.01"
,400,"12.7
6.0
1.25","12.7
8.0
1.25","12.7
10.0
1.25","12.7
12.0
1.22","12.7
14.0
1.19","12.7
16.0
1.19","12.7
18.0
1.19","12.7
20.0
1.19","12.7
22.0
1.17","12.7
24.0
1.17","12.7
26.0
1.16","12.7
28.0
1.17","12.7
30.0
1.16"
,450,"12.9
6.0
1.26","12.9
8.0
1.26","12.9
10.0
1.26","12.9
12.0
1.23","12.9
14.0
1.20","12.9
16.0
1.20","12.9
18.0
1.19","12.9
20.0
1.19","12.9
22.0
1.18","12.9
24.0
1.18","12.9
26.0
1.17","12.9
28.0
1.17","12.9
30.0
1.16"
,500,"13.1
6.0
1.26","13.1
8.0
1.26","13.1
10.0
1.26","13.1
12.0
1.23","13.1
14.0
1.20","13.1
16.0
1.20","13.1
18.0
1.20","13.1
20.0
1.20","13.1
22.0
1.18","13.1
24.0
1.18","13.1
26.0
1.17","13.1
28.0
1.17","13.1
30.0
1.16"
4,200,"8.8
4.0
1.03","8.8
4.0
1.01","8.9
4.2
1.01","9.4
4.6
1.02","9.4
4.6
1.02","11.5
5.4
1.06","12.2
5.8
1.05","12.1
6.2
1.09","13.4
6.9
1.12","14.3
7.5
1.12","15.2
8.1
1.08","17.0
9.1
1.13","17.8
9.5
1.16"
,250,"8.9
6.0
1.03","8.9
6.1
1.01","8.9
6.0
1.01","9.6
7.0
1.02","9.6
7.0
1.01","10.0
7.2
1.01","10.0
7.2
1.01","11.4
8.3
1.05","12.9
9.0
1.04","12.5
9.3
1.04","12.9
9.7
1.01","13.7
10.5
1.01","14.9
11.3
1.01"
,300,"8.9
6.0
1.00","9.1
8.0
1.00","9.1
8.0
1.00","10.2
8.7
1.00","10.4
9.3
1.00","10.6
9.4
1.00","11.2
10.1
1.00","11.7
10.3
1.01","12.6
11.0
1.01","13.3
11.8
1.03","14.7
13.3
1.03","15.0
13.8
1.00","16.1
14.7
1.03"
