OWSJ                                                                                                            Uniform Load (kN/m),,,,,,,,,,,,,,
Span,Depth,Factored Load,4.5,6.3,8.1,9.9,11.7,13.5,15.3,17.1,18.9,20.7,22.5,24.3
(m),(mm),Service Load,3.0,4.2,5.4,6.6,7.8,9.0,10.2,11.4,12.6,13.8,15.0,16.2
3,,Self Wt (kg/m),9.3,9.3,9.3,9.3,9.4,9.6,9.6,9.5,10.0,11.8,11.8,11.4
3,305,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),8.9,8.9,8.9,8.9,8.9,9.3,9.3,9.3,9.8,11.6,11.6,12.0
3,356,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),9.2,9.2,9.2,9.2,9.2,9.3,9.5,9.5,10.1,10.1,11.6,11.6
3,406,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),9.1,9.1,9.1,8.5,9.6,9.6,9.6,11.0,11.0,11.5,11.6,11.6
3,457,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),9.2,9.2,9.2,9.3,10.9,11.5,11.5,11.5,13.5,13.5,13.6,14.6
3,508,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),9.8,9.8,9.4,9.4,11.0,11.0,11.6,11.6,11.7,13.6,13.6,13.8
3,559,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),9.5,9.5,9.5,9.7,11.2,11.2,11.7,11.7,11.7,13.7,13.7,13.7
3,610,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),10.1,10.1,10.1,9.9,11.3,11.3,11.8,11.8,11.8,13.9,13.9,13.9
3,660,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
3,,Self Wt (kg/m),10.2,10.2,10.5,10.0,11.5,12.0,12.0,12.0,12.0,14.0,14.0,14.0
3,711,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
3,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
4,,Self Wt (kg/m),9.0,9.0,9.1,9.1,9.1,9.8,11.5,11.7,11.1,11.7,11.7,14.0
4,305,WL/360 (kN/m),3,4,5,7,8,9,10,11,12,13,13,16
4,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
4,,Self Wt (kg/m),8.8,8.8,8.9,8.9,8.9,9.8,9.7,11.4,10.8,10.9,11.4,11.7
4,356,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
4,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
4,,Self Wt (kg/m),9.0,9.0,9.1,9.1,9.1,9.7,9.9,11.3,11.0,11.2,11.2,11.7
4,406,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
4,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
4,,Self Wt (kg/m),9.0,9.2,9.2,8.8,9.6,11.0,11.2,11.2,11.5,12.3,13.3,13.6
4,457,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
4,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
4,,Self Wt (kg/m),9.1,9.3,9.3,9.5,9.7,11.0,11.0,11.3,11.3,12.3,13.5,13.7
4,508,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
